"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"360","31_10_Composite.tif",0,1,0,0.2403,0.2176,0.0833,0.0742,0.5326,0.5326
"261","31_1_Composite.tif",0,0,1,0.3936,0.448,0.3333,0.1531,0.3381,0.3381
"361","31_1_Composite.tif",0,1,0,0.0523,0.0478,0,0.0371,0.3381,0.3381
"262","31_2_Composite.tif",0,0,1,0.5911,0.5883,0.5416,0.1686,0.5264,0.5264
"362","31_2_Composite.tif",0,1,0,0.1732,0.1909,0,0.0527,0.5264,0.5264
"263","31_3_Composite.tif",0,0,1,0.4332,0.5053,0.5,0.1421,0.3016,0.3016
"363","31_3_Composite.tif",0,1,0,0.0351,0.0356,0,0.0496,0.3016,0.3016
"264","31_4_Composite.tif",0,0,1,0.5671,0.5513,0.5161,0.1532,0.4251,0.4251
"364","31_4_Composite.tif",0,1,0,0.1128,0.1012,0,0.0179,0.4251,0.4251
"265","31_5_Composite.tif",0,0,1,0.6465,0.6369,0.3437,0.1318,0.4725,0.4725
"365","31_5_Composite.tif",0,1,0,0.1827,0.1788,0,0.0304,0.4725,0.4725
"266","31_6_Composite.tif",0,0,1,0.2933,0.3058,0.2142,0.0956,0.3367,0.3367
"366","31_6_Composite.tif",0,1,0,0.162,0.154,0.0909,0.0441,0.3367,0.3367
"267","31_7_Composite.tif",0,0,1,0.8139,0.8247,0.7333,0.2977,0.5704,0.5704
"367","31_7_Composite.tif",0,1,0,0.2477,0.2337,0,0.0329,0.5704,0.5704
"268","31_8_Composite.tif",0,0,1,0.7978,0.7853,0.6216,0.2276,0.5089,0.5089
"368","31_8_Composite.tif",0,1,0,0.2431,0.2455,0.0666,0.0487,0.5089,0.5089
"269","31_9_Composite.tif",0,0,1,0.4429,0.4746,0.35,0.1775,0.4207,0.4207
"369","31_9_Composite.tif",0,1,0,0.1335,0.1369,0,0.0742,0.4207,0.4207
"270","32_10_Composite.tif",0,0,1,0.7828,0.7466,0.647,0.3368,0.557,0.557
"370","32_10_Composite.tif",0,1,0,0.135,0.1303,0,0.0118,0.557,0.557
"271","32_1_Composite.tif",0,0,1,0.6756,0.6769,0.6363,0.241,0.3899,0.3899
"371","32_1_Composite.tif",0,1,0,0.0565,0.0541,0,0.0091,0.3899,0.3899
"272","32_2_Composite.tif",0,0,1,0.8779,0.8619,0.9444,0.3628,0.5512,0.5512
"372","32_2_Composite.tif",0,1,0,0.1562,0.1536,0,0.0115,0.5512,0.5512
"273","32_3_Composite.tif",0,0,1,0.7141,0.7117,0.5862,0.2448,0.6221,0.6221
"373","32_3_Composite.tif",0,1,0,0.1563,0.1411,0.1111,0.0371,0.6221,0.6221
"274","32_4_Composite.tif",0,0,1,0.2912,0.3055,0.3913,0.2034,0.3565,0.3565
"374","32_4_Composite.tif",0,1,0,0.0979,0.0895,0.05,0.0482,0.3565,0.3565
"275","32_5_Composite.tif",0,0,1,0.6962,0.7228,0.625,0.2409,0.4231,0.4231
"375","32_5_Composite.tif",0,1,0,0.061,0.0606,0,0.0132,0.4231,0.4231
"276","32_6_Composite.tif",0,0,1,0.7544,0.7458,0.7,0.3189,0.5101,0.5101
"376","32_6_Composite.tif",0,1,0,0.1538,0.1543,0.0666,0.0455,0.5101,0.5101
"277","32_7_Composite.tif",0,0,1,0.8384,0.7937,0.8076,0.3337,0.5199,0.5199
"377","32_7_Composite.tif",0,1,0,0.0687,0.0687,0,0.034,0.5199,0.5199
"278","32_8_Composite.tif",0,0,1,0.8824,0.8912,0.7959,0.2801,0.5866,0.5866
"378","32_8_Composite.tif",0,1,0,0.1701,0.1689,0,0.0286,0.5866,0.5866
"279","32_9_Composite.tif",0,0,1,0.639,0.6696,0.5769,0.1983,0.487,0.487
"379","32_9_Composite.tif",0,1,0,0.2602,0.2561,0,0.0275,0.487,0.487
"280","33_10_Composite.tif",0,0,1,0.6295,0.7171,0.5454,0.2102,0.4918,0.4918
"380","33_10_Composite.tif",0,1,0,0.2722,0.274,0,0.0433,0.4918,0.4918
"281","33_1_Composite.tif",0,0,1,0.5032,0.4784,0.2083,0.0946,0.4992,0.4992
"381","33_1_Composite.tif",0,1,0,0.4173,0.4092,0.2222,0.1131,0.4992,0.4992
"282","33_2_Composite.tif",0,0,1,0.7017,0.6923,0.4814,0.2041,0.5446,0.5446
"382","33_2_Composite.tif",0,1,0,0.2935,0.2836,0,0.0698,0.5446,0.5446
"283","33_3_Composite.tif",0,0,1,0.6364,0.7314,0.55,0.2291,0.5058,0.5058
"383","33_3_Composite.tif",0,1,0,0.2788,0.2687,0,0.0568,0.5058,0.5058
"284","33_4_Composite.tif",0,0,1,0.6999,0.7666,0.4666,0.1713,0.5451,0.5451
"384","33_4_Composite.tif",0,1,0,0.4161,0.4047,0.0588,0.06,0.5451,0.5451
"285","33_5_Composite.tif",0,0,1,0.6332,0.6697,0.5294,0.2167,0.5007,0.5007
"385","33_5_Composite.tif",0,1,0,0.3629,0.3348,0,0.0743,0.5007,0.5007
"286","33_6_Composite.tif",0,0,1,0.7293,0.7571,0.3333,0.1422,0.6297,0.6297
"386","33_6_Composite.tif",0,1,0,0.5656,0.5281,0.0666,0.0596,0.6297,0.6297
"287","33_7_Composite.tif",0,0,1,0.6527,0.6981,0.4838,0.2087,0.5232,0.5232
"387","33_7_Composite.tif",0,1,0,0.3617,0.3514,0,0.0704,0.5232,0.5232
"288","33_8_Composite.tif",0,0,1,0.5578,0.5828,0.25,0.0929,0.4207,0.4207
"388","33_8_Composite.tif",0,1,0,0.273,0.2734,0.0416,0.0509,0.4207,0.4207
"289","33_9_Composite.tif",0,0,1,0.7014,0.7591,0.5,0.1787,0.5582,0.5582
"389","33_9_Composite.tif",0,1,0,0.4147,0.4068,0,0.0412,0.5582,0.5582
"290","34_10_Composite.tif",0,0,1,0.1686,0.2361,0.1818,0.0802,0.0911,0.0911
