"","Picture","method","value"
"238","Tom40_Tom40","Coloc.Tesseler.Manders.A",0.165721
"239","Tom40_Tom40","Coloc.Tesseler.Manders.A",0.165721
"240","Tom40_Tom40","Coloc.Tesseler.Manders.A",0.165721
"241","Tom40_Mrpl4","Coloc.Tesseler.Manders.B",0.803954
"242","Tom40_Mrpl4","Coloc.Tesseler.Manders.B",0.803954
"243","Tom40_Mrpl4","Coloc.Tesseler.Manders.B",0.803954
"244","Tom40_Mrpl4","Coloc.Tesseler.Manders.B",0.803954
"245","Tom40_Mrpl4","Coloc.Tesseler.Manders.B",0.803954
"246","Tom40_Mrpl4","Coloc.Tesseler.Manders.B",0.803954
"247","Tom40_Mrpl4","Coloc.Tesseler.Manders.B",0.803954
"248","Tom40_Mrpl4","Coloc.Tesseler.Manders.B",0.803954
"249","Tom40_Mrpl4","Coloc.Tesseler.Manders.B",0.803954
"250","Tom40_Mrpl4","Coloc.Tesseler.Manders.B",0.803954
"251","Tom40_Cbp3","Coloc.Tesseler.Manders.B",0.199279
"252","Tom40_Cbp3","Coloc.Tesseler.Manders.B",0.199279
"253","Tom40_Cbp3","Coloc.Tesseler.Manders.B",0.199279
"254","Tom40_Cbp3","Coloc.Tesseler.Manders.B",0.199279
"255","Tom40_Cbp3","Coloc.Tesseler.Manders.B",0.199279
"256","Tom40_Cbp3","Coloc.Tesseler.Manders.B",0.199279
"257","Tom40_Cbp3","Coloc.Tesseler.Manders.B",0.199279
"258","Tom40_Cbp3","Coloc.Tesseler.Manders.B",0.199279
"259","Tom40_Cbp3","Coloc.Tesseler.Manders.B",0.199279
"260","Tom40_Cbp3","Coloc.Tesseler.Manders.B",0.199279
"261","Tom40_Tom20","Coloc.Tesseler.Manders.B",0.441289
"262","Tom40_Tom20","Coloc.Tesseler.Manders.B",0.441289
"263","Tom40_Tom20","Coloc.Tesseler.Manders.B",0.441289
"264","Tom40_Tom20","Coloc.Tesseler.Manders.B",0.441289
"265","Tom40_Tom20","Coloc.Tesseler.Manders.B",0.441289
"266","Tom40_Tom20","Coloc.Tesseler.Manders.B",0.441289
"267","Tom40_Tom20","Coloc.Tesseler.Manders.B",0.441289
"268","Tom40_Tom20","Coloc.Tesseler.Manders.B",0.441289
"269","Tom40_Tom20","Coloc.Tesseler.Manders.B",0.441289
"270","Tom40_Tom20","Coloc.Tesseler.Manders.B",0.441289
"271","Tom40_Tom40","Coloc.Tesseler.Manders.B",0.277688
"272","Tom40_Tom40","Coloc.Tesseler.Manders.B",0.277688
"273","Tom40_Tom40","Coloc.Tesseler.Manders.B",0.277688
"274","Tom40_Tom40","Coloc.Tesseler.Manders.B",0.277688
"275","Tom40_Tom40","Coloc.Tesseler.Manders.B",0.277688
"276","Tom40_Tom40","Coloc.Tesseler.Manders.B",0.277688
"277","Tom40_Tom40","Coloc.Tesseler.Manders.B",0.277688
"278","Tom40_Tom40","Coloc.Tesseler.Manders.B",0.277688
"279","Tom40_Tom40","Coloc.Tesseler.Manders.B",0.277688
"280","Tom40_Tom40","Coloc.Tesseler.Manders.B",0.277688
