"","class","no_pic","t","OTC"
"339","2D",4,975,1
"340","2D",4,990,1
"341","2D",4,1005,1
"342","2D",4,1020,1
"343","2D",4,1035,1
"344","2D",4,1050,1
"345","2D",4,1065,1
"346","2D",4,1080,1
"347","2D",4,1095,1
"348","2D",4,1110,1
"349","2D",4,1125,1
"350","2D",4,1140,1
"351","2D",4,1155,1
"352","2D",4,1170,1
"353","2D",4,1185,1
"354","2D",4,1200,1
"355","2D",4,1215,1
"356","2D",4,1230,1
"357","2D",4,1245,1
"358","2D",4,1260,1
"359","2D",4,1275,1
"360","2D",4,1290,1
"361","2D",4,1305,1
"362","2D",4,1320,1
"363","2D",4,1335,1
"364","2D",4,1350,1
"365","2D",5,0,0.011959044
"366","2D",5,15,0.043105532
"367","2D",5,30,0.093161124
"368","2D",5,45,0.171555188
"369","2D",5,60,0.250087704
"370","2D",5,75,0.350562783
"371","2D",5,90,0.430995784
"372","2D",5,105,0.511800395
"373","2D",5,120,0.586381543
"374","2D",5,135,0.645267417
"375","2D",5,150,0.683174442
"376","2D",5,165,0.713563025
"377","2D",5,180,0.736936507
"378","2D",5,195,0.763367586
"379","2D",5,210,0.785990354
"380","2D",5,225,0.809966044
"381","2D",5,240,0.832005412
"382","2D",5,255,0.856904875
"383","2D",5,270,0.882479671
"384","2D",5,285,0.913661124
"385","2D",5,300,0.934148343
"386","2D",5,315,0.941569752
"387","2D",5,330,0.946711351
"388","2D",5,345,0.950275364
"389","2D",5,360,0.954729609
"390","2D",5,375,0.960208489
"391","2D",5,390,0.962059954
"392","2D",5,405,0.963175355
"393","2D",5,420,0.968473933
"394","2D",5,435,0.977946597
"395","2D",5,450,0.98713906
"396","2D",5,465,0.991211662
"397","2D",5,480,0.993697812
"398","2D",5,495,0.995210834
"399","2D",5,510,0.99668048
"400","2D",5,525,0.997731347
"401","2D",5,540,0.998311299
"402","2D",5,555,0.999217146
"403","2D",5,570,0.999826426
"404","2D",5,585,0.999996781
"405","2D",5,600,1
"406","2D",5,615,1
"407","2D",5,630,1
"408","2D",5,645,1
"409","2D",5,660,1
"410","2D",5,675,1
"411","2D",5,690,1
"412","2D",5,705,1
"413","2D",5,720,1
"414","2D",5,735,1
"415","2D",5,750,1
"416","2D",5,765,1
"417","2D",5,780,1
"418","2D",5,795,1
"419","2D",5,810,1
"420","2D",5,825,1
"421","2D",5,840,1
"422","2D",5,855,1
"423","2D",5,870,1
"424","2D",5,885,1
"425","2D",5,900,1
"426","2D",5,915,1
"427","2D",5,930,1
"428","2D",5,945,1
"429","2D",5,960,1
"430","2D",5,975,1
"431","2D",5,990,1
"432","2D",5,1005,1
"433","2D",5,1020,1
"434","2D",5,1035,1
"435","2D",5,1050,1
"436","2D",5,1065,1
"437","2D",5,1080,1
"438","2D",5,1095,1
"439","2D",5,1110,1
"440","2D",5,1125,1
"441","2D",5,1140,1
"442","2D",5,1155,1
"443","2D",5,1170,1
"444","2D",5,1185,1
"445","2D",5,1200,1
"446","2D",5,1215,1
"447","2D",5,1230,1
"448","2D",5,1245,1
"449","2D",5,1260,1
"450","2D",5,1275,1
"451","2D",5,1290,1
"452","2D",5,1305,1
"453","2D",5,1320,1
"454","2D",5,1335,1
"455","2D",5,1350,1
"456","2D",6,0,0.01013725
"457","2D",6,15,0.03991295
"458","2D",6,30,0.096384713
"459","2D",6,45,0.221063119
"460","2D",6,60,0.360378603
"461","2D",6,75,0.525332412
"462","2D",6,90,0.642775109
"463","2D",6,105,0.742474653
"464","2D",6,120,0.820407276
"465","2D",6,135,0.871700204
"466","2D",6,150,0.90715821
"467","2D",6,165,0.935620613
"468","2D",6,180,0.945499868
"469","2D",6,195,0.952184393
"470","2D",6,210,0.956589176
"471","2D",6,225,0.956772467
"472","2D",6,240,0.956861486
"473","2D",6,255,0.95695264
"474","2D",6,270,0.956963411
"475","2D",6,285,0.957081193
"476","2D",6,300,0.957081622
"477","2D",6,315,0.957081989
"478","2D",6,330,0.957202459
"479","2D",6,345,0.957248141
"480","2D",6,360,0.957293764
"481","2D",6,375,0.957407828
"482","2D",6,390,0.957548057
"483","2D",6,405,0.958034348
"484","2D",6,420,0.958539148
"485","2D",6,435,0.959802147
"486","2D",6,450,0.961681552
"487","2D",6,465,0.962602536
"488","2D",6,480,0.962847335
"489","2D",6,495,0.96323486
"490","2D",6,510,0.964018745
"491","2D",6,525,0.966605808
"492","2D",6,540,0.968155412
"493","2D",6,555,0.968499111
"494","2D",6,570,0.968632964
"495","2D",6,585,0.968652717
