"","Picture","Mask.center.1.inside.Mask.2","Ripley.s.K.of.2.coloc..with.1","SODA.of.2.coloc..with.1"
"454",50,0.03,0.48,0.34
"455",50,0.02,0.49,0.43
"456",50,0,0.23,0.24
"457",50,0.03,0.44,0.25
"458",50,0.03,0.42,0.3
"459",50,0,0.35,0.33
"460",50,0,0.21,0.16
"461",50,0.02,0.39,0.33
"462",50,0.02,0.33,0.27
"463",50,0.03,0.34,0.25
"464",50,0.01,0.32,0.24
"465",50,0,0.36,0.28
"466",50,0.04,0.41,0.25
"467",50,0,0.24,0.24
"468",50,0,0.16,0.16
"469",50,0.03,0.2,0.1
"470",50,0.03,0.53,0.35
"471",50,0,0.34,0.23
"472",50,0,0.22,0.21
"473",50,0.04,0.31,0.24
"474",50,0.01,0.29,0.27
"475",50,0,0.25,0.21
"476",50,0.01,0.28,0.25
"477",50,0.04,0.34,0.22
"478",50,0.01,0.25,0.26
"479",50,0,0.3,0.29
"480",50,0.03,0.26,0.16
"481",50,0.01,0.25,0.17
"482",50,0,0.27,0.25
"483",50,0.04,0.34,0.25
"484",50,0.01,0.25,0.23
"485",50,0.01,0.29,0.27
"486",50,0.04,0.21,0.17
"487",50,0.02,0.29,0.23
"488",50,0.04,0.36,0.25
"489",50,0.01,0.3,0.23
"490",50,0.03,0.35,0.31
"491",50,0.01,0.25,0.2
"492",50,0.01,0.29,0.22
"493",50,0.04,0.26,0.19
"494",50,0.02,0.37,0.26
"495",50,0.01,0.31,0.27
"496",50,0.05,0.52,0.21
"497",50,0.03,0.2,0.19
"498",50,0,0.29,0.24
"499",50,0.03,0.26,0.18
"500",50,0.02,0.39,0.33
"501",60,0,0.29,0.25
"502",60,0,0.26,0.24
"503",60,0,0.27,0.33
"504",60,0,0.31,0.24
"505",60,0.02,0.39,0.32
"506",60,0.03,0.52,0.41
"507",60,0,0.35,0.37
"508",60,0,0.39,0.46
"509",60,0.06,0.4,0.26
"510",60,0,0.27,0.24
"511",60,0,0.38,0.23
"512",60,0.02,0.28,0.23
"513",60,0,0.3,0.26
"514",60,0,0.22,0.19
"515",60,0,0.38,0.4
"516",60,0,0.35,0.31
"517",60,0.01,0.34,0.3
"518",60,0,0.42,0.39
"519",60,0,0.28,0.32
"520",60,0.04,0.49,0.35
"521",60,0,0.2,0.21
"522",60,0.01,0.28,0.25
"523",60,0.04,0.4,0.35
"524",60,0,0.35,0.27
"525",60,0.03,0.39,0.3
"526",60,0,0.29,0.27
"527",60,0.03,0.37,0.3
"528",60,0.03,0.42,0.24
"529",60,0.01,0.21,0.14
"530",60,0.02,0.31,0.22
"531",60,0.03,0.23,0.15
"532",60,0.06,0.45,0.4
"533",60,0.01,0.34,0.29
"534",60,0,0.35,0.27
"535",60,0.02,0.39,0.29
"536",60,0,0.32,0.31
"537",60,0.03,0.47,0.4
"538",60,0.03,0.39,0.26
"539",60,0.05,0.5,0.42
"540",60,0,0.38,0.38
"541",60,0,0.31,0.29
"542",60,0.03,0.43,0.26
"543",60,0,0.14,0.05
"544",60,0.03,0.51,0.27
"545",60,0.02,0.27,0.13
"546",60,0,0.39,0.29
"547",60,0.05,0.44,0.39
"548",60,0.02,0.38,0.37
"549",60,0.01,0.39,0.27
"550",60,0.04,0.32,0.32
"551",60,0,0.4,0.36
"552",60,0.03,0.3,0.21
"553",60,0.01,0.33,0.3
"554",60,0.01,0.4,0.3
"555",60,0.04,0.41,0.22
"556",60,0.02,0.3,0.25
"557",60,0,0.24,0.23
"558",60,0,0.28,0.33
"559",60,0.03,0.44,0.3
"560",60,0,0.36,0.3
"561",60,0,0.35,0.46
"562",60,0.02,0.22,0.07
"563",60,0.03,0.46,0.37
"564",60,0.04,0.61,0.31
"565",60,0.04,0.34,0.24
"566",60,0,0.21,0.2
"567",60,0,0.46,0.28
"568",60,0.01,0.34,0.37
"569",60,0.01,0.29,0.3
"570",60,0.01,0.23,0.2
"571",60,0,0.2,0.22
"572",60,0,0.34,0.27
"573",60,0.06,0.39,0.3
"574",60,0.02,0.24,0.22
"575",60,0,0.23,0.26
"576",60,0.02,0.43,0.33
"577",60,0.01,0.45,0.36
"578",60,0,0.4,0.33
"579",60,0,0.21,0.25
"580",60,0,0.2,0.19
"581",60,0,0.33,0.31
"582",60,0.03,0.41,0.26
"583",60,0,0.31,0.27
"584",60,0,0.35,0.31
"585",60,0.03,0.46,0.38
"586",60,0.01,0.44,0.38
"587",60,0.02,0.21,0.15
"588",60,0,0.23,0.23
"589",60,0.04,0.27,0.21
"590",60,0.03,0.45,0.28
"591",60,0.02,0.25,0.16
"592",60,0.02,0.34,0.24
"593",60,0.03,0.45,0.33
"594",60,0.03,0.3,0.21
"595",60,0,0.3,0.26
"596",60,0.04,0.54,0.43
"597",60,0,0.38,0.3
"598",60,0.01,0.35,0.33
"599",60,0.01,0.37,0.29
"600",60,0.02,0.34,0.3
"601",70,0.01,0.38,0.35
