"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"286","37_27_Composite.tif",0,0,1,0.3634,0.4,0.6,0.1558,0.2546,0.2546
"386","37_27_Composite.tif",0,1,0,0.0331,0.0323,0,0.033,0.2546,0.2546
"287","37_28_Composite.tif",0,0,1,0.6098,0.6325,0.5625,0.174,0.3965,0.3965
"387","37_28_Composite.tif",0,1,0,0.1239,0.117,0.1666,0.0676,0.3965,0.3965
"288","37_29_Composite.tif",0,0,1,0.7562,0.7551,0.5555,0.2711,0.5521,0.5521
"388","37_29_Composite.tif",0,1,0,0.1767,0.1742,0,0.0379,0.5521,0.5521
"289","37_2_Composite.tif",0,0,1,0.7534,0.7594,0.6428,0.2477,0.5852,0.5852
"389","37_2_Composite.tif",0,1,0,0.4429,0.4372,0.2857,0.1196,0.5852,0.5852
"290","37_30_Composite.tif",0,0,1,0.7921,0.7841,0.775,0.2453,0.4697,0.4697
"390","37_30_Composite.tif",0,1,0,0.1987,0.1947,0.0769,0.0583,0.4697,0.4697
"291","37_31_Composite.tif",0,0,1,0.6881,0.6982,0.5294,0.2254,0.5481,0.5481
"391","37_31_Composite.tif",0,1,0,0.4095,0.3846,0.3333,0.1206,0.5481,0.5481
"292","37_32_Composite.tif",0,0,1,0.8498,0.814,0.8095,0.3474,0.4569,0.4569
"392","37_32_Composite.tif",0,1,0,0.0575,0.0542,0,0.0412,0.4569,0.4569
"293","37_33_Composite.tif",0,0,1,0.7467,0.7919,0.5217,0.1794,0.5569,0.5569
"393","37_33_Composite.tif",0,1,0,0.3972,0.3972,0,0.1704,0.5569,0.5569
"294","37_34_Composite.tif",0,0,1,0.2049,0.2602,0.2727,0.0994,0.27,0.27
"394","37_34_Composite.tif",0,1,0,0.1371,0.1366,0,0.0418,0.27,0.27
"295","37_3_Composite.tif",0,0,1,0.7516,0.7444,0.7368,0.2438,0.5265,0.5265
"395","37_3_Composite.tif",0,1,0,0.2498,0.2344,0.1538,0.0727,0.5265,0.5265
"296","37_4_Composite.tif",0,0,1,0.8609,0.8354,0.85,0.3741,0.4448,0.4448
"396","37_4_Composite.tif",0,1,0,0.0686,0.0684,0,0.0669,0.4448,0.4448
"297","37_5_Composite.tif",0,0,1,0.5469,0.5679,0.5588,0.1862,0.3991,0.3991
"397","37_5_Composite.tif",0,1,0,0.2199,0.201,0.2,0.1078,0.3991,0.3991
"298","37_6_Composite.tif",0,0,1,0.8145,0.8147,0.5714,0.2499,0.5602,0.5602
"398","37_6_Composite.tif",0,1,0,0.2312,0.2284,0,0.0433,0.5602,0.5602
"299","37_7_Composite.tif",0,0,1,0.689,0.7085,0.5,0.1543,0.4427,0.4427
"399","37_7_Composite.tif",0,1,0,0.1756,0.1618,0,0.0364,0.4427,0.4427
"2100","37_8_Composite.tif",0,0,1,0.5298,0.5267,0.3571,0.1333,0.4178,0.4178
"3100","37_8_Composite.tif",0,1,0,0.225,0.2082,0,0.0855,0.4178,0.4178
"2101","37_9_Composite.tif",0,0,1,0.7068,0.7355,0.409,0.1575,0.5633,0.5633
"3101","37_9_Composite.tif",0,1,0,0.432,0.4313,0,0.1545,0.5633,0.5633
