"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"365","37_5_Composite.tif",0,1,0,0.2491,0.2202,0.1666,0.0771,0.4438,0.4438
"266","37_6_Composite.tif",0,0,1,0.8156,0.8248,0.8333,0.2686,0.589,0.589
"366","37_6_Composite.tif",0,1,0,0.4003,0.3967,0,0.1169,0.589,0.589
"267","37_7_Composite.tif",0,0,1,0.8817,0.8931,0.7272,0.2719,0.5893,0.5893
"367","37_7_Composite.tif",0,1,0,0.2563,0.2457,0,0.0406,0.5893,0.5893
"268","37_8_Composite.tif",0,0,1,0.8796,0.8964,0.8,0.332,0.615,0.615
"368","37_8_Composite.tif",0,1,0,0.2674,0.2565,0,0.0746,0.615,0.615
"269","37_9_Composite.tif",0,0,1,0.8196,0.8313,0.8235,0.2765,0.612,0.612
"369","37_9_Composite.tif",0,1,0,0.3697,0.3678,0,0.1137,0.612,0.612
"270","38_10_Composite.tif",0,0,1,0.615,0.6243,0.625,0.2745,0.4748,0.4748
"370","38_10_Composite.tif",0,1,0,0.1539,0.1522,0,0.0622,0.4748,0.4748
"271","38_1_Composite.tif",0,0,1,0.6289,0.6356,0.647,0.254,0.5013,0.5013
"371","38_1_Composite.tif",0,1,0,0.1563,0.156,0,0.0584,0.5013,0.5013
"272","38_2_Composite.tif",0,0,1,0.5417,0.527,0.4473,0.2043,0.3673,0.3673
"372","38_2_Composite.tif",0,1,0,0.1977,0.1921,0.1666,0.0905,0.3673,0.3673
"273","38_3_Composite.tif",0,0,1,0.7609,0.7826,0.7916,0.3124,0.5336,0.5336
"373","38_3_Composite.tif",0,1,0,0.2147,0.2193,0,0.0908,0.5336,0.5336
"274","38_4_Composite.tif",0,0,1,0.31,0.4315,0.4545,0.1397,0.3126,0.3126
"374","38_4_Composite.tif",0,1,0,0.1434,0.1401,0,0.0678,0.3126,0.3126
"275","38_5_Composite.tif",0,0,1,0.6101,0.6247,0.5925,0.2585,0.4672,0.4672
"375","38_5_Composite.tif",0,1,0,0.1535,0.1533,0,0.0625,0.4672,0.4672
"276","38_6_Composite.tif",0,0,1,0.3437,0.3348,0.2962,0.1352,0.4014,0.4014
"376","38_6_Composite.tif",0,1,0,0.2747,0.2771,0.1481,0.1032,0.4014,0.4014
"277","38_7_Composite.tif",0,0,1,0.3659,0.3609,0.3333,0.1405,0.45,0.45
"377","38_7_Composite.tif",0,1,0,0.2725,0.2667,0.074,0.0969,0.45,0.45
"278","38_8_Composite.tif",0,0,1,0.3431,0.3405,0.3076,0.1285,0.4023,0.4023
"378","38_8_Composite.tif",0,1,0,0.2768,0.2878,0.1428,0.1154,0.4023,0.4023
"279","38_9_Composite.tif",0,0,1,0.3121,0.4344,0.4545,0.1397,0.3119,0.3119
"379","38_9_Composite.tif",0,1,0,0.142,0.1387,0,0.0676,0.3119,0.3119
"280","39_10_Composite.tif",0,0,1,0.1326,0.25,0.6666,0.3839,0.2829,0.2829
"380","39_10_Composite.tif",0,1,0,0.0269,0.0262,0,0.0088,0.2829,0.2829
"281","39_1_Composite.tif",0,0,1,0.7391,0.7436,0.5833,0.2286,0.5123,0.5123
"381","39_1_Composite.tif",0,1,0,0.3017,0.2978,0,0.1013,0.5123,0.5123
"282","39_2_Composite.tif",0,0,1,0.1993,0.2012,0.1578,0.0835,0.1671,0.1671
"382","39_2_Composite.tif",0,1,0,0.0523,0.0516,0,0.0191,0.1671,0.1671
"283","39_3_Composite.tif",0,0,1,0.6981,0.6634,0.7857,0.2603,0.5674,0.5674
"383","39_3_Composite.tif",0,1,0,0.3178,0.2891,0,0.0731,0.5674,0.5674
"284","39_4_Composite.tif",0,0,1,0.6248,0.6235,0.6666,0.2453,0.4774,0.4774
"384","39_4_Composite.tif",0,1,0,0.2398,0.239,0.1666,0.1341,0.4774,0.4774
"285","39_5_Composite.tif",0,0,1,0.6479,0.6515,0.5217,0.2042,0.5606,0.5606
"385","39_5_Composite.tif",0,1,0,0.2148,0.2104,0,0.062,0.5606,0.5606
"286","39_6_Composite.tif",0,0,1,0.7818,0.817,0.4375,0.1662,0.615,0.615
"386","39_6_Composite.tif",0,1,0,0.4244,0.4201,0,0.0779,0.615,0.615
"287","39_7_Composite.tif",0,0,1,0.7315,0.683,0.6,0.1878,0.5648,0.5648
"387","39_7_Composite.tif",0,1,0,0.2907,0.2895,0,0.0755,0.5648,0.5648
"288","39_8_Composite.tif",0,0,1,0.7542,0.7277,0.7777,0.2898,0.5152,0.5152
"388","39_8_Composite.tif",0,1,0,0.2297,0.2372,0,0.074,0.5152,0.5152
"289","39_9_Composite.tif",0,0,1,0.7426,0.7463,0.5294,0.1721,0.6096,0.6096
"389","39_9_Composite.tif",0,1,0,0.2694,0.2651,0,0.0633,0.6096,0.6096
"290","40_10_Composite.tif",0,0,1,0.4113,0.4382,0.5625,0.2053,0.4186,0.4186
"390","40_10_Composite.tif",0,1,0,0.1514,0.1585,0,0.0878,0.4186,0.4186
"291","40_1_Composite.tif",0,0,1,0.4482,0.4711,0.4736,0.1846,0.3501,0.3501
"391","40_1_Composite.tif",0,1,0,0.1819,0.1904,0.125,0.0899,0.3501,0.3501
"292","40_2_Composite.tif",0,0,1,0.481,0.519,0.5263,0.2116,0.3977,0.3977
"392","40_2_Composite.tif",0,1,0,0.1816,0.1717,0.1428,0.0937,0.3977,0.3977
